Source,Target,Strength
1949347722,16163639,3
1949347722,236487888,6
1949347722,26487169,4
1949671112,331057915,3
1951965764,471672239,3
1963612351,24127811,5
196411725,148291255,4
1969399538,26487169,4
1972076252,358545917,3
19777469,471672239,3
197838315,26487169,3
198054116,2746979823,3
19841902,24127811,5
198739013,202814670,4
198824594,3914047581,3
199056422,199056422,389
19920619,471672239,3
19921268,4761064634,4
199324433,174770559,5
199768203,26487169,8
199768203,28003949,4
199768203,43969372,3
20084570,26487169,5
200964745,84653850,3
201604949,2255983068,5
201781540,26487169,4
20182257,14069721,3
20201631,236487888,3
202367059,15669672,4
202367059,199056422,7
202367059,26487169,3
20268039,190662041,3
202750031,26487169,6
20308223,16244449,3
204132287,26487169,3
20435808,4761064634,3
20467453,785917011918327808,3
205644304,205644304,3
205689843,24127811,4
206063108,2255983068,3
206957682,4761064634,3
20715638,109065990,3
20730783,26487169,3
20737589,130496027,3
20773456,236487888,4
20782953,3111909523,4
208059447,24127811,3
20826129,26487169,3
208352822,471672239,3
209103227,26487169,3
209103227,418867782,3
209425078,24127811,3
20942763,26487169,3
209881576,358545917,3
210275927,26487169,8
210275927,471672239,3
21056656,109065990,4
21091983,26487169,10
210982195,3387188439,3
211533486,2534195028,3
211620129,24127811,6
212769991,24127811,5
213071545,358545917,3
21333697,24127811,6
21368516,471672239,3
214829926,18643437,3
215154964,2288462990,3
215154964,24127811,3
2151813224,26487169,6
2151953562,111216929,3
2151953562,24127811,4
215293961,4496549793,3
2154028783,236487888,4
21587082,3435940588,3
21587082,574915137,3
2161175960,26487169,3
216123608,66533920,6
216498790,216498790,6
2166712563,2166712563,5
2167674121,261749735,4
2167798236,2167798236,3
2169470797,3111909523,3
217137252,25320639,4
217137252,4584443975,3
2172872273,471672239,4
21736198,358545917,3
217513485,111216929,3
217575068,4761064634,3
2176780082,331057915,5
2178663834,16163639,9
2178663834,25539759,4
2178663834,4272870988,3
2179916998,471672239,3
21802725,393190233,3
2180795005,126433539,4
2182657752,26487169,9
2182657752,3367987133,6
218351169,4761064634,3
2189444204,26487169,9
21901503,21901503,4
2191571707,26487169,3
2191984092,24127811,4
21924420,24127811,3
219425028,2949092680,3
2194394673,869049313,3
219489934,24127811,4
2196646711,109065990,3
219793074,471672239,3
219997270,56037463,6
2200630458,471672239,3
2204552464,26487169,3
2209298587,1080576949,13
221011668,26487169,3
221011668,742749379623165955,3
2211112023,734203266964295680,4
221121595,26487169,7
2213512260,2213512260,3
221475570,221475570,8
221475570,26487169,4
2218437631,358545917,3
221963057,26487169,4
2223706189,24127811,3
2223706189,471672239,3
222547785,26487169,3
222547785,471672239,4
2226814305,471672239,4
22280891,358545917,3
2232152180,111216929,3
2233811049,900355423,3
2236630092,26487169,5
2237957448,471672239,3
2238259269,4272870988,3
223896073,466144416,3
2239548626,26487169,3
2240033851,471672239,3
224099937,26487169,4
224286721,130496027,3
2245411745,471672239,4
2246427643,26487169,4
224760049,26487169,3
2252475822,2252475822,14
2254586790,2254586790,3
2255983068,2255983068,3
225733872,574915137,3
225733872,64595461,4
226070187,358545917,4
226070187,50769180,3
226228068,18643437,3
2262574488,358545917,3
2265133784,779739206339928064,3
2268344145,358545917,3
2270554398,2270554398,14
2270832549,101457999,3
2271850670,26487169,4
227307359,24516301,3
2278197342,358545917,3
2279480828,15513604,4
228015335,84653850,3
22808333,24127811,3
2280896059,39344374,3
22822556,111216929,4
2282901638,26487169,4
2284573357,26487169,8
22856092,2534195028,3
228791219,466144416,3
2288462990,24127811,12
2288462990,722942823847170048,5
2292743989,111216929,3
2292743989,26487169,3
2294762225,471672239,3
229491643,3111909523,3
229670513,24127811,5
2296807926,236487888,3
2297125818,26487169,4
2302413002,710990834972233728,3
2304347564,358545917,3
2305879171,16076032,3
2305879171,16163639,8
2305879171,24127811,22
2305879171,358545917,5
2305879171,471672239,4
2307464682,471672239,3
2308404913,26487169,3
2312197316,734886138326847491,3
2312902755,24127811,5
2315451122,26487169,3
2315583427,393190233,8
2316751902,2316751902,7
2319887304,26487169,3
2320715947,111216929,3
232266535,24127811,3
23240495,471672239,4
2324939314,438829074,5
23250565,26487169,5
2325879996,285967672,3
2325879996,331057915,9
2326231555,884024311,3
2326394664,26487169,4
232691447,788162508876054529,4
2329210838,2993449593,3
2329435819,26487169,4
2329567400,3394763765,3
2329567400,729294150345080832,9
2330478312,24127811,3
2330531478,459872442,3
2332573171,2288462990,6
233371379,24127811,8
233371379,66533920,8
233621615,2779389582,4
23373309,174770559,5
23393316,471672239,3
2340988752,26487169,3
2341977604,15513604,3
2341977604,2534195028,3
2341977604,26487169,8
2341977604,466144416,3
2341977604,471672239,4
2341977604,4761064634,3
234466998,393190233,3
234466998,4262146367,3
234466998,4761064634,3
2347719997,721737068322271232,3
23479954,26487169,3
2354351132,471672239,3
2356944679,471672239,3
235698522,26487169,3
235698522,3383049855,3
235698522,358545917,3
2357377808,16163639,3
2359692109,39308549,3
2361304821,3284112337,3
2361859956,109065990,4
2361859956,471672239,3
2363620862,42825230,3
236681060,24127811,3
2367863310,111216929,3
2369216078,358545917,3
2369688244,66533920,3
